留言板内容,capacity,time,楼层,type,pasterid,secret,signature,htmlContent,effect,回复内容,回复者,bmp,留言发布时间,modifytime,留言者QQ号,留言者姓名,留言ID
好久没有过来看过啦，看了王老师的留言板，还是很有大局观的哇。。[em]e113[\/em],5898,,781,0,,0,,好久没有过来看过啦，看了王老师的留言板，还是很有大局观的哇。。\u003Cimg src=\u0022\/qzone\/em\/e113.gif\u0022  \/>\u003Cwbr  \/>,0,,,98d595840840a201,2016/6/14 12:27,0,376976240,骑行小蜗游,1000050232
假设一天非洲哥们儿真的大量定居在中华大地，或者还建立“非洲街”，我们吃饭，工作，走路都和他们在一起，先撇开种族歧视不说，总还是觉得别扭。那么如果我们是这样想的话，中国人在国外受歧视，甚至排斥，也就不难理解。同时还有西藏和新疆。,5747,,780,0,,0,,假设一天非洲哥们儿真的大量定居在中华大地，或者还建立“非洲街”，我们吃饭，工作，走路都和他们在一起，先撇开种族歧视不说，总还是觉得别扭。那么如果我们是这样想的话，中国人在国外受歧视，甚至排斥，也就不难理解。同时还有西藏和新疆。,4194304,,,188095a10002e101,2016/6/9 10:57,0,371312563,明明,1000050231
居庙堂之高则忧其民，处江湖之远则忧其君。,5933,,779,0,,0,,居庙堂之高则忧其民，处江湖之远则忧其君。,4194304,,,188095a10002e101,2016/5/30 14:08,0,371312563,明明,1000050230
我有故事你有酒，要不要坐下来聊聊。,5939,,778,0,,0,,我有故事你有酒，要不要坐下来聊聊。,4194304,,,188095a10002e101,2016/5/19 21:27,0,371312563,明明,1000050229
生活就是这样，永远不要想着下一段旅程会怎样，过好现在就行。,5915,,777,0,,0,,生活就是这样，永远不要想着下一段旅程会怎样，过好现在就行。,0,,,188095a10002e101,2016/5/18 17:48,0,371312563,明明,1000050228
做事最怕三天打鱼，两天晒网。而我恰恰是这样。,5929,,776,0,,0,,做事最怕三天打鱼，两天晒网。而我恰恰是这样。,0,,,188095a10002e101,2016/5/17 20:35,0,371312563,明明,1000050227
曾经有一个女生爱哭，爱笑，爱撒娇，喜欢枕着我圆滚滚的手臂睡觉觉，曾经在我的怀里放声痛哭，也曾经挂在我的脖子上放声大笑。,5855,,775,0,,0,,曾经有一个女生爱哭，爱笑，爱撒娇，喜欢枕着我圆滚滚的手臂睡觉觉，曾经在我的怀里放声痛哭，也曾经挂在我的脖子上放声大笑。,4194304,,,188095a10002e101,2016/5/4 18:44,0,371312563,明明,1000050226
我把衣服鞋子和书包都洗了，就像你说的那样。,5931,,774,0,,0,,我把衣服鞋子和书包都洗了，就像你说的那样。,4194304,,,188095a10002e101,2016/5/3 14:40,0,371312563,明明,1000050225
帅帅，我好稀饭雷呀～[em]e121[\/em][em]e121[\/em][em]e121[\/em],5914,,773,0,,0,,帅帅，我好稀饭雷呀～\u003Cimg src=\u0022\/qzone\/em\/e121.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e121.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e121.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,18d095a00042c101,2016/4/26 0:23,0,524254567,牛,1000050224
"我喜欢看你笑
却又害怕
害怕我不能够让你一直微笑下去",5923,,772,0,,0,,我喜欢看你笑\u003Cbr  \/>却又害怕\u003Cbr  \/>害怕我不能够让你一直微笑下去,4194304,,,188095a10002e101,2016/4/18 0:48,0,371312563,明明,1000050223
人类只不过是一群退了毛的猩猩。认真你就输了。,5929,,771,0,,0,,人类只不过是一群退了毛的猩猩。认真你就输了。,4194304,,,188095a10002e101,2016/4/10 1:21,0,371312563,明明,1000050222
世界上有一种人，想到了什么事情恨不得马上就完成了，恨不得知道世界上所有的秘密，不喜欢拖着吊着，所以会很累。还有另一种人，从不喜欢急着赶着做一些事情，也谈不上拖沓，就是看不到他着急，常常让第一种人觉得心累。不巧的是，我是第一种人。[em]e100[\/em],5732,,770,0,,0,,世界上有一种人，想到了什么事情恨不得马上就完成了，恨不得知道世界上所有的秘密，不喜欢拖着吊着，所以会很累。还有另一种人，从不喜欢急着赶着做一些事情，也谈不上拖沓，就是看不到他着急，常常让第一种人觉得心累。不巧的是，我是第一种人。\u003Cimg src=\u0022\/qzone\/em\/e100.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,188095a10002e101,2016/4/5 2:00,0,371312563,明明,1000050221
怎么办呀我好喜欢你呀,5953,,769,0,,0,,怎么办呀我好喜欢你呀,4194304,,,188095a10002e101,2016/3/20 23:43,0,371312563,明明,1000050220
对于专车，我只能说主要问题还是在监管部门的失职。在专车出现之前，我们都知道存在监管部门，但是监管部门真正起到的监督作用又有多少呢？运证部门明明知道每天有大量的时间出租车资源处于供不应求的状态，可是你们有作为吗？可是现在出现了专车以后，不论是优步还是滴滴，明显拥有更多的平台监管的职能，拥有更加舒适的用户体验，更加有竞争力的价格。这些个个都是直戳有关部门项背的，可是现在他们的反应却是依靠抓\u0022非法营运\u0022来罚款解决，不得不说，这是隔靴搔痒，即不治标，更不治本！中国的改革总是需要外部力量的冲击，而\u0022统治阶级\u0022却从未想过要早预防，早治疗。但不管怎么样，吃亏的始终都是底层的出租车司机和专车司机。,5369,,768,0,,0,,对于专车，我只能说主要问题还是在监管部门的失职。在专车出现之前，我们都知道存在监管部门，但是监管部门真正起到的监督作用又有多少呢？运证部门明明知道每天有大量的时间出租车资源处于供不应求的状态，可是你们有作为吗？可是现在出现了专车以后，不论是优步还是滴滴，明显拥有更多的平台监管的职能，拥有更加舒适的用户体验，更加有竞争力的价格。这些个个都是直戳有关部门项背的，可是现在他们的反应却是依靠抓&quot;非法营运&quot;来罚款解决，不得不说，这是隔靴搔痒，即不治标，更不治本！中国的改革总是需要外部力量的冲击，而&quot;统治阶级&quot;却从未想过要早预防，早治疗。但不管怎么样，吃亏的始终都是底层的出租车司机和专车司机。,4194304,,,188095a10002e101,2016/3/13 23:57,0,371312563,明明,1000050219
最可怕的是明明你知道自己要什么，却还能够找到100个理由不行动。,5912,,767,0,,0,,最可怕的是明明你知道自己要什么，却还能够找到100个理由不行动。,4194304,,,188095a10002e101,2016/1/11 0:40,0,371312563,明明,1000050218
知耻而后勇。,5961,,766,0,,0,,知耻而后勇。,4194304,,,188095a10002e101,2015/12/25 10:43,0,371312563,明明,1000050217
王老师说过，如果你想更优秀的话，少睡点儿。,5931,,765,0,,0,,王老师说过，如果你想更优秀的话，少睡点儿。,4194304,,,188095a10002e101,2015/12/10 3:39,0,371312563,明明,1000050216
是不是每个人都有那么一段日子，干的每一件事都傻逼。,5923,,764,0,,0,,是不是每个人都有那么一段日子，干的每一件事都傻逼。,4194304,,,188095a10002e101,2015/12/8 21:11,0,371312563,明明,1000050215
忘掉你的过去，小虾米。,5951,,763,0,,0,,忘掉你的过去，小虾米。,4194304,,,188095a10002e101,2015/12/5 13:49,0,371312563,明明,1000050214
这寂寞的夜，冰冷的雪，何时才能够消停。上一次的分离还余音在耳，却不曾想，再也得不到你的讯息。如果时间能够重来一次的话，我会更认真地说一次爱你。          ----深夜失眠小记,5805,,762,0,,0,,这寂寞的夜，冰冷的雪，何时才能够消停。上一次的分离还余音在耳，却不曾想，再也得不到你的讯息。如果时间能够重来一次的话，我会更认真地说一次爱你。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;----深夜失眠小记,4194304,,,188095a10002e101,2015/11/29 2:15,0,371312563,明明,1000050213
今天回到了云塘，着实有一种回家的感觉。真的有偷偷在想，要是留在了长理读研，实验室里都是熟悉的同学，寝室住的都是本科同学，任课老师全熟，一切都可以顺理成章，那样改多好，我就不用去一个陌生的地方，重新开始熟悉身边的陌生人～,5755,,761,0,,0,,今天回到了云塘，着实有一种回家的感觉。真的有偷偷在想，要是留在了长理读研，实验室里都是熟悉的同学，寝室住的都是本科同学，任课老师全熟，一切都可以顺理成章，那样改多好，我就不用去一个陌生的地方，重新开始熟悉身边的陌生人～,4194304,,,188095a10002e101,2015/10/30 2:07,0,371312563,明明,1000050212
长沙“国际”马拉松，为了国际这两个字……我倒是觉得应该叫做肯尼亚马拉松，呵呵,5897,,760,0,,0,,长沙“国际”马拉松，为了国际这两个字……我倒是觉得应该叫做肯尼亚马拉松，呵呵,4194304,,,188095a10002e101,2015/10/18 10:06,0,371312563,明明,1000050211
[em]e400186[\/em][em]e400186[\/em][em]e400186[\/em]亲爱的么么哒,5913,,759,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e400186.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e400186.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e400186.gif\u0022  \/>\u003Cwbr  \/>亲爱的么么哒,4194304,,,18d095a00042c101,2015/9/22 0:49,0,524254567,牛,1000050210
人越长大，越可怕，一切都变得现实起来。每个人的价值观不同，生活经历不同，你可以不同意别人的生活方式，读到研究生，也可以说各种各样的室友也都见过了。有些事对于有些想法真是无言以对。不要怪别人，以后上社会以后你会习以为常的。,5753,,758,0,,0,,人越长大，越可怕，一切都变得现实起来。每个人的价值观不同，生活经历不同，你可以不同意别人的生活方式，读到研究生，也可以说各种各样的室友也都见过了。有些事对于有些想法真是无言以对。不要怪别人，以后上社会以后你会习以为常的。,4194304,,,188095a10002e101,2015/9/14 0:33,0,371312563,明明,1000050209
微博上面对央视盗用素材的抵制有哪个主流媒体敢报道？\u0022长沙警事\u0022下面的评论条条都是声讨，大半年了有任何改变？微博其实也就是给大家一个发泄的平台罢了。仅此而已。,5809,,757,0,,0,,微博上面对央视盗用素材的抵制有哪个主流媒体敢报道？&quot;长沙警事&quot;下面的评论条条都是声讨，大半年了有任何改变？微博其实也就是给大家一个发泄的平台罢了。仅此而已。,4194304,,,188095a10002e101,2015/9/11 15:28,0,371312563,明明,1000050208
不要否认…我们有时候就是为了活在别人眼里。,5931,,756,0,,0,,不要否认…我们有时候就是为了活在别人眼里。,4194304,,,188095a10002e101,2015/8/24 16:39,0,371312563,明明,1000050207
论信息时代资讯的重要性。今天网上选宿舍，本来通知是下午一点开始选宿舍，但是当我十二点进去的时候就已经只有最差的寝室了。开始的时候真是又气又恼，可是后来慢慢也就想明白了，身处在所谓的大数据时代，资讯绝对是第一生产力。有那么多的qq群我都没有加，到现在为止还没有和研究生的同级的联系过？你说，这能怪谁呢？,5675,,755,0,,0,,论信息时代资讯的重要性。今天网上选宿舍，本来通知是下午一点开始选宿舍，但是当我十二点进去的时候就已经只有最差的寝室了。开始的时候真是又气又恼，可是后来慢慢也就想明白了，身处在所谓的大数据时代，资讯绝对是第一生产力。有那么多的qq群我都没有加，到现在为止还没有和研究生的同级的联系过？你说，这能怪谁呢？,4194304,,,188095a10002e101,2015/8/10 16:53,0,371312563,明明,1000050206
等你日志啊日志。。日志都记录在下来了吧,5833,1437282703,754,0,,0,,等你日志啊日志。。日志都记录在下来了吧,32,在写着呢～,明明,98d595840840a201,2015/7/19 13:10,0,376976240,骑行小蜗游,1000050205
今天学校有一位哥们跳楼了，前一阵子中南也有。于是我想我们是不是要赋予每个人选择死亡的权利？是不是可以自杀合法化？如果一个人确定了要结束自己的生命，可以去医院登记，然后经过一段时间冷静期以后，再执行？不需要每次都是这样简单粗暴？,5747,,753,0,,0,,今天学校有一位哥们跳楼了，前一阵子中南也有。于是我想我们是不是要赋予每个人选择死亡的权利？是不是可以自杀合法化？如果一个人确定了要结束自己的生命，可以去医院登记，然后经过一段时间冷静期以后，再执行？不需要每次都是这样简单粗暴？,4194304,,,188095a10002e101,2015/6/1 11:05,0,371312563,明明,1000050204
250快乐～,5964,,752,0,,0,,250快乐～,4194304,,,18d095a00042c101,2015/5/20 7:47,0,524254567,牛,1000050203
失去了日记的习惯，真是个可怕的事。,5939,,751,0,,0,,失去了日记的习惯，真是个可怕的事。,4194304,,,188095a10002e101,2015/5/19 13:57,0,371312563,明明,1000050202
你的身活好丰富啊！[em]e328077[\/em][em]e328077[\/em][em]e328077[\/em]！,5905,,750,0,,0,,你的身活好丰富啊！\u003Cimg src=\u0022\/qzone\/em\/e328077.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e328077.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e328077.gif\u0022  \/>\u003Cwbr  \/>！,4194304,,,185095880200c401,2015/5/18 23:51,0,1595327330,桔,1000050201
傻，爱你。[em]e163[\/em],5921,1431174122,749,0,,0,,傻，爱你。\u003Cimg src=\u0022\/qzone\/em\/e163.gif\u0022  \/>\u003Cwbr  \/>,4194336,爱你～～～,明明,18d095a00042c101,2015/5/9 20:21,0,524254567,牛,1000050200
人生有时缺乏的，仅仅就是出发的勇气～,5937,,748,0,,0,,人生有时缺乏的，仅仅就是出发的勇气～,4194304,,,188095a10002e101,2015/4/23 0:29,0,371312563,明明,1000050199
[em]e162[\/em] [em]e162[\/em] 太久不见，甚是思念[em]e163[\/em] [em]e163[\/em],5723,1428828860,747,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e162.gif\u0022  \/>\u003Cwbr  \/>&nbsp;\u003Cimg src=\u0022\/qzone\/em\/e162.gif\u0022  \/>\u003Cwbr  \/>&nbsp;太久不见，甚是思念\u003Cimg src=\u0022\/qzone\/em\/e163.gif\u0022  \/>\u003Cwbr  \/>&nbsp;\u003Cimg src=\u0022\/qzone\/em\/e163.gif\u0022  \/>\u003Cwbr  \/>,32,对啊！好久没一起玩了！昨天看以前的照片一直在发笑。好开心,sisicc,38d415e0014ec101,2015/4/11 22:11,0,623746369,sisicc,1000050198
白天晚上电视里全是抗日剧，不得不说对日本的仇恨教育跟这些剧没有关系…,5905,,746,0,,0,,白天晚上电视里全是抗日剧，不得不说对日本的仇恨教育跟这些剧没有关系…,4194304,,,188095a10002e101,2015/4/10 9:37,0,371312563,明明,1000050197
如愿以偿。,5931,1427681594,745,0,,0,,如愿以偿。,4194336,[em]e103[\/em],明明,18d095a00042c101,2015/3/28 23:28,0,524254567,牛,1000050196
功夫不负有心人。,5957,,744,0,,0,,功夫不负有心人。,4194304,,,18d095a00042c101,2015/3/27 21:14,0,524254567,牛,1000050195
深深觉得现在自然选择已经变的及其的微弱，就拿人而言，以现有的医疗条件，婴儿出生不管有什么问题，基本上都能存活下来，哪怕以后长大了会有各种各样的缺陷。这到底好吗？   纯粹在瞎想，不带有任何歧视观点，不喜勿喷。,5768,,743,0,,0,,深深觉得现在自然选择已经变的及其的微弱，就拿人而言，以现有的医疗条件，婴儿出生不管有什么问题，基本上都能存活下来，哪怕以后长大了会有各种各样的缺陷。这到底好吗？&nbsp;&nbsp;&nbsp;纯粹在瞎想，不带有任何歧视观点，不喜勿喷。,4194304,,,188095a10002e101,2015/3/21 16:56,0,371312563,明明,1000050194
"If you want something,work for it!",5939,,742,0,,0,,"If&nbsp;you&nbsp;want&nbsp;something,work&nbsp;for&nbsp;it!",4194304,,,188095a10002e101,2015/3/20 8:29,0,371312563,明明,1000050193
开放二胎究竟是喜还是忧，我们上一辈基本都是两三个孩子，到时候平均下来每个年轻人要肩负两三个人的养老金的社会责任，还有养两个孩子[em]e103[\/em][em]e103[\/em]努力赚钱吧…,5809,,741,0,,0,,开放二胎究竟是喜还是忧，我们上一辈基本都是两三个孩子，到时候平均下来每个年轻人要肩负两三个人的养老金的社会责任，还有养两个孩子\u003Cimg src=\u0022\/qzone\/em\/e103.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e103.gif\u0022  \/>\u003Cwbr  \/>努力赚钱吧…,4194304,,,188095a10002e101,2015/3/16 12:32,0,371312563,明明,1000050192
香港之痛是历史的必然，从糖罐子里往外爬心里还是不悦的。,5919,,740,0,,0,,香港之痛是历史的必然，从糖罐子里往外爬心里还是不悦的。,4194304,,,188095a10002e101,2015/3/12 14:38,0,371312563,明明,1000050191
"这思想还是高端啊~[em]e179[\/em] [em]e179[\/em] [em]e179[\/em] 
[quote]引自：明明  于 2015-03-04 12:57:19 发表的留言
引用内容：

习主席确实好，但是如果社会风气取决于谁执政，那么到底这是人治还是法治？值得思考。[\/quote]",5756,,739,0,,0,,这思想还是高端啊~\u003Cimg src=\u0022\/qzone\/em\/e179.gif\u0022  \/>\u003Cwbr  \/>&nbsp;\u003Cimg src=\u0022\/qzone\/em\/e179.gif\u0022  \/>\u003Cwbr  \/>&nbsp;\u003Cimg src=\u0022\/qzone\/em\/e179.gif\u0022  \/>\u003Cwbr  \/>&nbsp;\u003Cbr  \/>\u003Cdiv class=\u0022comment_quote bor\u0022>引自：明明&nbsp;&nbsp;于&nbsp;2015-03-04&nbsp;12:57:19&nbsp;发表的留言\u003Cbr  \/>引用内容：\u003Cbr  \/>\u003Cbr  \/>习主席确实好，但是如果社会风气取决于谁执政，那么到底这是人治还是法治？值得思考。\u003C\/div>,0,,,98d595840840a201,2015/3/9 22:43,0,376976240,骑行小蜗游,1000050190
习主席确实好，但是如果社会风气取决于谁执政，那么到底这是人治还是法治？值得思考。,5893,,738,0,,0,,习主席确实好，但是如果社会风气取决于谁执政，那么到底这是人治还是法治？值得思考。,4194304,,,188095a10002e101,2015/3/4 12:57,0,371312563,明明,1000050189
多日未来这里瞧见瞧见了。[em]e113[\/em],5936,,737,0,,0,,多日未来这里瞧见瞧见了。\u003Cimg src=\u0022\/qzone\/em\/e113.gif\u0022  \/>\u003Cwbr  \/>,0,,,98d595840840a201,2015/3/1 16:24,0,376976240,骑行小蜗游,1000050188
蠢[em]e328055[\/em],5955,,736,0,,0,,蠢\u003Cimg src=\u0022\/qzone\/em\/e328055.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,18d095a00042c101,2015/2/20 22:42,0,524254567,牛,1000050187
你是我坚持不懈的动力。,5951,,735,0,,0,,你是我坚持不懈的动力。,4194304,,,18d095a00042c101,2015/1/21 8:22,0,524254567,牛,1000050186
啦啦啦～吃饭啦～,5957,,734,0,,0,,啦啦啦～吃饭啦～,4194304,,,18d095a00042c101,2015/1/20 12:27,0,524254567,牛,1000050185
猪猪猪～,5965,,733,0,,0,,猪猪猪～,4194304,,,18d095a00042c101,2015/1/17 23:02,0,524254567,牛,1000050184
猪猪瞎。,5965,,732,0,,0,,猪猪瞎。,4194304,,,18d095a00042c101,2015/1/7 17:42,0,524254567,牛,1000050183
撒比。,5967,,731,0,,0,,撒比。,4194304,,,18d095a00042c101,2015/1/6 20:31,0,524254567,牛,1000050182
傻笑。,5967,,730,0,,0,,傻笑。,4194304,,,18d095a00042c101,2015/1/6 20:31,0,524254567,牛,1000050181
撒比、新的一年又开始了、这次的心情有些不同，多谢感动多些期待多些坚定更多些想要和你好好在一起的决心，2015、我们一起加油～,5795,1420121670,729,0,,0,,撒比、新的一年又开始了、这次的心情有些不同，多谢感动多些期待多些坚定更多些想要和你好好在一起的决心，2015、我们一起加油～,4194336,[em]e113[\/em][em]e113[\/em][em]e113[\/em],明明,18d095a00042c101,2015/1/1 1:51,0,524254567,牛,1000050180
我有一个好聪明好聪明的男盆友、肿么办你说他会不会把我卖到山沟沟里去呢～,5903,,728,0,,0,,我有一个好聪明好聪明的男盆友、肿么办你说他会不会把我卖到山沟沟里去呢～,4194304,,,18d095a00042c101,2014/12/31 15:03,0,524254567,牛,1000050179
加油哦！,5965,,727,0,,0,,加油哦！,4194304,,,98d595840840a201,2014/12/27 20:21,0,376976240,骑行小蜗游,1000050178
I am here.,5963,,726,0,,0,,I&nbsp;am&nbsp;here.,4194304,,,18d095a00042c101,2014/12/27 0:08,0,524254567,牛,1000050177
哈哈哈  相信你  一笑而过。,5902,1419602872,725,0,,0,,哈哈哈&nbsp;&nbsp;相信你&nbsp;&nbsp;一笑而过。,32,带着父老乡亲的嘱托，加油！,明明,98d595840840a201,2014/12/26 20:51,0,376976240,骑行小蜗游,1000050176
最后两天，加油~！,5956,,724,0,,0,,最后两天，加油~！,0,,,18c0950000000001,2014/12/26 15:18,0,535426933,a_李游,1000050175
加油哦~！,5964,,723,0,,0,,加油哦~！,0,,,98d595840840a201,2014/12/25 19:17,0,376976240,骑行小蜗游,1000050174
加油哦！,5965,,722,0,,0,,加油哦！,4194304,,,18c0950000000001,2014/12/24 22:55,0,535426933,a_李游,1000050173
还有4天就考试了，我也不能为你做些什么，唯有每天给你加加油~！愿你实现你的考研梦想。,5864,1419350161,721,0,,0,,还有4天就考试了，我也不能为你做些什么，唯有每天给你加加油~！愿你实现你的考研梦想。,32,平常心～,明明,98d595840840a201,2014/12/23 11:56,0,376976240,骑行小蜗游,1000050172
加油~！,5966,,720,0,,0,,加油~！,0,,,18c0950000000001,2014/12/22 20:36,0,535426933,a_李游,1000050171
调整心态，加油哇！,5955,,719,0,,0,,调整心态，加油哇！,4194304,,,18c0950000000001,2014/12/21 23:58,0,535426933,a_李游,1000050170
老弟啊，只有这么几天了啊，放松放松，好好干！加油~！,5922,,718,0,,0,,老弟啊，只有这么几天了啊，放松放松，好好干！加油~！,0,,,98d595840840a201,2014/12/20 21:59,0,376976240,骑行小蜗游,1000050169
唯有加油送给你,5927,1419033848,717,0,,0,,唯有加油送给你,4194336,[em]e113[\/em],明明,98d595840840a201,2014/12/19 23:44,0,376976240,骑行小蜗游,1000050168
加油哦~！,5964,,716,0,,0,,加油哦~！,0,,,98d595840840a201,2014/12/18 12:19,0,376976240,骑行小蜗游,1000050167
加油哦，最后十天了！,5928,1418830015,715,0,,0,,加油哦，最后十天了！,32,嗯嗯～,明明,18c0950000000001,2014/12/17 20:09,0,535426933,a_李游,1000050166
加油哦，~！,5937,1418746267,714,0,,0,,加油哦，~！,32,加油～,明明,18c0950000000001,2014/12/16 21:10,0,535426933,a_李游,1000050165
"哈哈  这个qq是工作时用的q，有时候懒得登陆，就用这个来为你加油啦！[em]e113[\/em] 
好好加油哦~！",5879,,713,0,,0,,哈哈&nbsp;&nbsp;这个qq是工作时用的q，有时候懒得登陆，就用这个来为你加油啦！\u003Cimg src=\u0022\/qzone\/em\/e113.gif\u0022  \/>\u003Cwbr  \/>&nbsp;\u003Cbr  \/>好好加油哦~！,0,,,18c0950000000001,2014/12/15 20:29,0,535426933,a_李游,1000050164
加油噢！,5929,1418558145,712,0,,0,,加油噢！,4194336,游哥两个qq轮流啊~,明明,98d595840840a201,2014/12/14 13:23,0,376976240,骑行小蜗游,1000050163
加油哦~！,5964,,711,0,,0,,加油哦~！,0,,,98d595840840a201,2014/12/13 20:53,0,376976240,骑行小蜗游,1000050162
