nickname,ubbContent,capacity,time,pubtime,floor,type,pasterid,secret,signature,htmlContent,effect,content,nick,bmp,modifytime,uin,id
简简单单,啦啦啦,5895,1432472878,2015/5/24 19:49,1298,0,,0,,啦啦啦,4194336,种太阳去[em]e328514[\/em],简简单单,18d095a001028101,0,540686659,1000050300
梁斯斯,半夜被蚊子咬醒，也是醉了,5949,,2015/5/12 3:17,1297,0,,0,,半夜被蚊子咬醒，也是醉了,4194304,,,48d015a00000c001,0,1007645150,1000050299
Ymm,[em]e157[\/em]天气热,5954,,2015/5/7 13:40,1296,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e157.gif\u0022  \/>\u003Cwbr  \/>天气热,4194304,,,58c4952000008001,0,765238191,1000050298
Ymm,羊ss,5969,,2015/2/5 22:35,1295,0,,0,,羊ss,4194304,,,58c4952000008001,0,765238191,1000050296
温暖如初,哈哈哈哈哈哈哈哈,5957,,2015/1/31 11:58,1294,0,,0,,哈哈哈哈哈哈哈哈,4194304,,,18d195800000c101,0,694118107,1000050295
温暖如初,那就，二月快乐！！,5955,,2015/1/31 11:57,1293,0,,0,,那就，二月快乐！！,4194304,,,18d195800000c101,0,694118107,1000050294
温暖如初,如果现在说新年快乐会不会太早！！！,5939,,2015/1/31 11:57,1292,0,,0,,如果现在说新年快乐会不会太早！！！,4194304,,,18d195800000c101,0,694118107,1000050293
温暖如初,我的流量好多八多！！,5953,,2015/1/31 11:57,1291,0,,0,,我的流量好多八多！！,4194304,,,18d195800000c101,0,694118107,1000050292
温暖如初,斯斯斯斯斯斯～～～,5955,,2015/1/31 11:56,1290,0,,0,,斯斯斯斯斯斯～～～,4194304,,,18d195800000c101,0,694118107,1000050291
Aoo,沙发还可以坐嘛。,5897,1417784113,2014/12/5 0:42,1289,0,,0,,沙发还可以坐嘛。,4194336,上茶，渴了。,Aoo,18d09da00102a101,0,786526759,1000050290
Ymm,是啊！[em]e105[\/em],5954,,2014/11/16 18:32,1288,0,,0,,是啊！\u003Cimg src=\u0022\/qzone\/em\/e105.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,58c4952000008001,0,765238191,1000050289
Ymm,尼玛断电了,5963,,2014/11/16 18:00,1287,0,,0,,尼玛断电了,4194304,,,58c4952000008001,0,765238191,1000050288
Ymm,已经转变成拉肚子了,5955,,2014/11/8 11:30,1286,0,,0,,已经转变成拉肚子了,4194304,,,58c4952000008001,0,765238191,1000050287
Ymm,哈哈 真了解[em]e105[\/em],5949,,2014/11/8 11:30,1285,0,,0,,哈哈&nbsp;真了解\u003Cimg src=\u0022\/qzone\/em\/e105.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,58c4952000008001,0,765238191,1000050286
Ymm,九点多的车过去的 再次醒来就不见她了,5938,,2014/11/8 11:29,1284,0,,0,,九点多的车过去的&nbsp;再次醒来就不见她了,4194304,,,58c4952000008001,0,765238191,1000050285
Ymm,早,5971,,2014/11/8 6:30,1283,0,,0,,早,4194304,,,58c4952000008001,0,765238191,1000050284
Fearless。,吗,5971,,2014/11/7 8:44,1282,0,,0,,吗,4194304,,, 8d495a40102c101,0,295765289,1000050283
Fearless。,心,5971,,2014/11/7 8:44,1281,0,,0,,心,4194304,,, 8d495a40102c101,0,295765289,1000050282
Fearless。,开,5971,,2014/11/7 8:44,1280,0,,0,,开,4194304,,, 8d495a40102c101,0,295765289,1000050281
Fearless。,了,5971,,2014/11/7 8:44,1279,0,,0,,了,4194304,,, 8d495a40102c101,0,295765289,1000050280
Fearless。,假,5971,,2014/11/7 8:44,1278,0,,0,,假,4194304,,, 8d495a40102c101,0,295765289,1000050279
Fearless。,放,5971,,2014/11/7 8:44,1277,0,,0,,放,4194304,,, 8d495a40102c101,0,295765289,1000050278
Fearless。,要,5971,,2014/11/7 8:44,1276,0,,0,,要,4194304,,, 8d495a40102c101,0,295765289,1000050277
Fearless。,又,5971,,2014/11/7 8:44,1275,0,,0,,又,4194304,,, 8d495a40102c101,0,295765289,1000050276
Fearless。,啊,5971,,2014/11/7 8:43,1274,0,,0,,啊,4194304,,, 8d495a40102c101,0,295765289,1000050275
Fearless。,聊,5971,,2014/11/7 8:43,1273,0,,0,,聊,4194304,,, 8d495a40102c101,0,295765289,1000050274
Fearless。,无,5971,,2014/11/7 8:43,1272,0,,0,,无,4194304,,, 8d495a40102c101,0,295765289,1000050273
Fearless。,好,5971,,2014/11/7 8:43,1271,0,,0,,好,4194304,,, 8d495a40102c101,0,295765289,1000050272
Fearless。,课,5971,,2014/11/7 8:43,1270,0,,0,,课,4194304,,, 8d495a40102c101,0,295765289,1000050271
Fearless。,上,5971,,2014/11/7 8:43,1269,0,,0,,上,4194304,,, 8d495a40102c101,0,295765289,1000050270
温暖如初,开开心心生活哦,5959,,2014/10/27 22:59,1268,0,,0,,开开心心生活哦,4194304,,,18d195800000c101,0,694118107,1000050268
温暖如初,最近没一起上课，唉～～～～～好舒服啊～～～哈哈[em]e113[\/em][em]e113[\/em][em]e113[\/em],5888,,2014/10/27 22:58,1267,0,,0,,最近没一起上课，唉～～～～～好舒服啊～～～哈哈\u003Cimg src=\u0022\/qzone\/em\/e113.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e113.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e113.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,18d195800000c101,0,694118107,1000050267
温暖如初,昨天你吓我，害的我晚上没睡好,5945,,2014/10/27 22:58,1266,0,,0,,昨天你吓我，害的我晚上没睡好,4194304,,,18d195800000c101,0,694118107,1000050266
温暖如初,好久没来了，,5961,,2014/10/27 22:58,1265,0,,0,,好久没来了，,4194304,,,18d195800000c101,0,694118107,1000050265
257,[em]e165[\/em] [em]e165[\/em] 永远都爱你 哦,5932,,2014/10/27 20:35,1264,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e165.gif\u0022  \/>\u003Cwbr  \/>&nbsp;\u003Cimg src=\u0022\/qzone\/em\/e165.gif\u0022  \/>\u003Cwbr  \/>&nbsp;永远都爱你&nbsp;哦,0,,,18d08d800202e001,0,1371962871,1000050264
257,[em]e191[\/em],5960,,2014/10/27 20:34,1263,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e191.gif\u0022  \/>\u003Cwbr  \/>,0,,,18d08d800202e001,0,1371962871,1000050263
257,[em]e163[\/em],5960,,2014/10/27 20:34,1262,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e163.gif\u0022  \/>\u003Cwbr  \/>,0,,,18d08d800202e001,0,1371962871,1000050262
257,[em]e152[\/em],5960,,2014/10/27 20:34,1261,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e152.gif\u0022  \/>\u003Cwbr  \/>,0,,,18d08d800202e001,0,1371962871,1000050261
257,"[img,100,100]http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/032.gif[\/img]",5893,,2014/10/27 20:33,1260,0,,0,,\u003Ca href=\u0022http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/032.gif\u0022 target=\u0022_blank\u0022>\u003Cimg src=\u0022http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/032.gif\u0022 width=\u0022100\u0022 height=\u0022100\u0022  \/>\u003C\/a>\u003Cwbr  \/>,0,,,18d08d800202e001,0,1371962871,1000050260
257,"[img,100,100]http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/063.gif[\/img]",5893,,2014/10/27 20:33,1259,0,,0,,\u003Ca href=\u0022http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/063.gif\u0022 target=\u0022_blank\u0022>\u003Cimg src=\u0022http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/063.gif\u0022 width=\u0022100\u0022 height=\u0022100\u0022  \/>\u003C\/a>\u003Cwbr  \/>,0,,,18d08d800202e001,0,1371962871,1000050259
李二二,[em]e105[\/em],5960,,2014/9/30 10:54,1258,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e105.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,d8c19da00002a201,0,457294784,1000050258
李二二,了,5971,,2014/9/30 10:54,1257,0,,0,,了,4194304,,,d8c19da00002a201,0,457294784,1000050257
李二二,你,5971,,2014/9/30 10:53,1256,0,,0,,你,4194304,,,d8c19da00002a201,0,457294784,1000050256
李二二,想,5971,,2014/9/30 10:53,1255,0,,0,,想,4194304,,,d8c19da00002a201,0,457294784,1000050255
李二二,然,5971,,2014/9/30 10:53,1254,0,,0,,然,4194304,,,d8c19da00002a201,0,457294784,1000050254
李二二,突,5971,,2014/9/30 10:53,1253,0,,0,,突,4194304,,,d8c19da00002a201,0,457294784,1000050253
李二二,[em]e152[\/em],5960,,2014/9/30 10:53,1252,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e152.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,d8c19da00002a201,0,457294784,1000050252
Ymm,动笔都没开始,5961,,2014/9/29 15:07,1251,0,,0,,动笔都没开始,0,,,58c4952000008001,0,765238191,1000050251
唯心,亲爱的 ,5958,,2014/9/22 10:59,1250,0,,0,,亲爱的&nbsp;,0,,,18d495800202c101,0,1290912938,1000050250
温暖如初,生日快乐！么么哒！！,5937,,2014/9/17 0:07,1249,0,,0,,生日快乐！么么哒！！,4194304,,,18d195800000c101,0,694118107,1000050249
温暖如初,生日快乐哦！！我没做到和你的约定，所以，你也快点找一个吧[em]e144[\/em][em]e144[\/em][em]e144[\/em],5862,,2014/9/17 0:07,1248,0,,0,,生日快乐哦！！我没做到和你的约定，所以，你也快点找一个吧\u003Cimg src=\u0022\/qzone\/em\/e144.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e144.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e144.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,18d195800000c101,0,694118107,1000050248
唯心,"亲爱的  要开学了  在学校要好好照顾自己哦[img,100,100]http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/063.gif[\/img]",5845,,2014/8/28 17:37,1247,0,,0,,亲爱的&nbsp;&nbsp;要开学了&nbsp;&nbsp;在学校要好好照顾自己哦\u003Ca href=\u0022http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/063.gif\u0022 target=\u0022_blank\u0022>\u003Cimg src=\u0022http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/063.gif\u0022 width=\u0022100\u0022 height=\u0022100\u0022  \/>\u003C\/a>\u003Cwbr  \/>,0,,,18d495800202c101,0,1290912938,1000050247
温暖如初,么么哒,5951,,2014/8/14 21:45,1246,0,,0,,么么哒,0,,,18d195800000c101,0,694118107,1000050246
温暖如初,明天七夕哦,5947,,2014/8/1 22:26,1245,0,,0,,明天七夕哦,0,,,18d195800000c101,0,694118107,1000050245
温暖如初,斯斯啊    斯斯啊,5941,,2014/8/1 22:26,1244,0,,0,,斯斯啊&nbsp;&nbsp;&nbsp;&nbsp;斯斯啊,0,,,18d195800000c101,0,694118107,1000050244
Ymm,不该十点半喝咖啡的 我好想睡觉 睡不着,5934,,2014/7/30 0:35,1243,0,,0,,不该十点半喝咖啡的&nbsp;我好想睡觉&nbsp;睡不着,1024,,,58c4952000008001,0,765238191,1000050243
Ymm,是啊 上午班是八点到下午一点 下午班是一点到晚上九点四十  每天就上一个班  今天下午上班 明天上午上班  ,5871,,2014/7/15 0:36,1242,0,,0,,是啊&nbsp;上午班是八点到下午一点&nbsp;下午班是一点到晚上九点四十&nbsp;&nbsp;每天就上一个班&nbsp;&nbsp;今天下午上班&nbsp;明天上午上班&nbsp;&nbsp;,1024,,,58c4952000008001,0,765238191,1000050242
Ymm,上班好累啊 和想象中的不一样,5943,,2014/7/14 21:34,1241,0,,0,,上班好累啊&nbsp;和想象中的不一样,4194304,,,58c4952000008001,0,765238191,1000050241
Ymm,驾照也不考 兼职也不搞 哈哈  开玩笑的,5934,,2014/7/14 21:33,1240,0,,0,,驾照也不考&nbsp;兼职也不搞&nbsp;哈哈&nbsp;&nbsp;开玩笑的,4194304,,,58c4952000008001,0,765238191,1000050240
Ymm,这么早只有一个原因 那就是今天是上上午班,5931,,2014/7/14 21:32,1239,0,,0,,这么早只有一个原因&nbsp;那就是今天是上上午班,4194304,,,58c4952000008001,0,765238191,1000050239
Ymm,我好困,5964,,2014/7/14 7:18,1238,0,,0,,我好困,1024,,,58c4952000008001,0,765238191,1000050238
Ymm,baby 最近在干嘛啊,5953,,2014/7/12 18:24,1237,0,,0,,baby&nbsp;最近在干嘛啊,0,,,58c4952000008001,0,765238191,1000050237
温暖如初,"[ft=#333333,3,Tahoma, Helvetica, Arial, 宋体, sans-serif]年轻时我们总是在开始时毫无所谓，在结束时痛彻心肺。而长大后成熟的我们避免了幼稚的伤害，却也错过了开始的勇气。[\/ft]",5791,,2014/7/9 23:34,1236,0,,0,,\u003Cspan style=\u0022line-height:1.8em;\u0022>年轻时我们总是在开始时毫无所谓，在结束时痛彻心肺。而长大后成熟的我们避免了幼稚的伤害，却也错过了开始的勇气。\u003C\/span>\u003Cwbr  \/>,0,,,18d195800000c101,0,694118107,1000050236
温暖如初,在家好无聊,5951,,2014/7/9 23:34,1235,0,,0,,在家好无聊,0,,,18d195800000c101,0,694118107,1000050235
温暖如初,斯斯,5957,,2014/7/9 23:34,1234,0,,0,,斯斯,0,,,18d195800000c101,0,694118107,1000050234
Fearless。,养吧养吧，在家要养的白白胖胖的！哈哈,5917,,2014/7/5 22:32,1233,0,,0,,养吧养吧，在家要养的白白胖胖的！哈哈,4194304,,, 8d495a40102c101,0,295765289,1000050233
Fearless。,已经开始暑假工了？,5935,,2014/7/5 13:15,1232,0,,0,,已经开始暑假工了？,4194304,,, 8d495a40102c101,0,295765289,1000050232
Fearless。,我是卖报的小行家,5937,,2014/7/5 13:15,1231,0,,0,,我是卖报的小行家,4194304,,, 8d495a40102c101,0,295765289,1000050231
Ymm,群里说出成绩了,5956,,2014/7/3 13:09,1230,0,,0,,群里说出成绩了,1024,,,58c4952000008001,0,765238191,1000050230
Ymm,在家里干什么咯,5956,,2014/7/3 13:09,1229,0,,0,,在家里干什么咯,1024,,,58c4952000008001,0,765238191,1000050229
木~子~,路过～～～,5955,,2014/7/3 8:45,1228,0,,0,,路过～～～,1024,,,18d015800002c101,0,1655572187,1000050228
257,"[img,100,100]http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/032.gif[\/img]",5884,,2014/6/26 12:07,1227,0,,0,,\u003Ca href=\u0022http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/032.gif\u0022 target=\u0022_blank\u0022>\u003Cimg src=\u0022http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/032.gif\u0022 width=\u0022100\u0022 height=\u0022100\u0022  \/>\u003C\/a>\u003Cwbr  \/>,0,,,18d08d800202e001,0,1371962871,1000050227
257,"[img,100,100]http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/063.gif[\/img]",5884,,2014/6/26 12:07,1226,0,,0,,\u003Ca href=\u0022http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/063.gif\u0022 target=\u0022_blank\u0022>\u003Cimg src=\u0022http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/063.gif\u0022 width=\u0022100\u0022 height=\u0022100\u0022  \/>\u003C\/a>\u003Cwbr  \/>,0,,,18d08d800202e001,0,1371962871,1000050226
何必在意再忆,来瞅瞅，[em]e113[\/em],5940,,2014/6/16 11:08,1225,0,,0,,来瞅瞅，\u003Cimg src=\u0022\/qzone\/em\/e113.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,18519da00200c201,0,1311292345,1000050225
唯心,"[img,100,100]http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/063.gif[\/img]亲爱的   想你的  你可想我",5854,,2014/6/9 20:08,1224,0,,0,,\u003Ca href=\u0022http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/063.gif\u0022 target=\u0022_blank\u0022>\u003Cimg src=\u0022http:\/\/qzonestyle.gtimg.cn\/qzone\/em\/recommendedImages\/063.gif\u0022 width=\u0022100\u0022 height=\u0022100\u0022  \/>\u003C\/a>\u003Cwbr  \/>亲爱的&nbsp;&nbsp;&nbsp;想你的&nbsp;&nbsp;你可想我,0,,,18d495800202c101,0,1290912938,1000050224
Ymm,-0-,5967,,2014/6/9 9:27,1223,0,,0,,-0-,0,,,58c4952000008001,0,765238191,1000050223
静静在奋斗,么么哒,5957,,2014/5/22 22:06,1222,0,,0,,么么哒,4194304,,,d8c48dc40008e109,0,826473544,1000050222
哈哈,520斯斯,5961,,2014/5/20 23:48,1221,0,,0,,520斯斯,4194304,,,18c09da00100c201,0,1306245688,1000050221
Ymm,电话反正也都不接,5954,,2014/5/20 13:37,1220,0,,0,,电话反正也都不接,4194304,,,58c4952000008001,0,765238191,1000050220
Ymm, Shi Shi ~ 么么~ =皿=,5949,,2014/5/20 13:37,1219,0,,0,,&nbsp;Shi&nbsp;Shi&nbsp;~&nbsp;么么~&nbsp;=皿=,4194304,,,58c4952000008001,0,765238191,1000050219
Fearless。,520 么么哒~[em]e163[\/em] [em]e152[\/em],5915,,2014/5/20 11:29,1218,0,,0,,520&nbsp;么么哒~\u003Cimg src=\u0022\/qzone\/em\/e163.gif\u0022  \/>\u003Cwbr  \/>&nbsp;\u003Cimg src=\u0022\/qzone\/em\/e152.gif\u0022  \/>\u003Cwbr  \/>,0,,, 8d495a40102c101,0,295765289,1000050218
257,[em]e152[\/em] [em]e163[\/em] 么么哒,5930,,2014/5/20 10:45,1217,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e152.gif\u0022  \/>\u003Cwbr  \/>&nbsp;\u003Cimg src=\u0022\/qzone\/em\/e163.gif\u0022  \/>\u003Cwbr  \/>&nbsp;么么哒,0,,,18d08d800202e001,0,1371962871,1000050217
烟火的光芒,想我就对了，哈哈，睡觉觉了，晚安[em]e121[\/em],5918,,2014/5/18 1:17,1216,0,,0,,想我就对了，哈哈，睡觉觉了，晚安\u003Cimg src=\u0022\/qzone\/em\/e121.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,18d59d800200c201,0,1678414035,1000050215
烟火的光芒,我还是该睡了，熬不住了额[em]e125[\/em],5926,,2014/5/18 1:17,1215,0,,0,,我还是该睡了，熬不住了额\u003Cimg src=\u0022\/qzone\/em\/e125.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,18d59d800200c201,0,1678414035,1000050214
烟火的光芒,好吧，那你还继续咯，差不多就得了哈，不然很快就到早上的,5909,,2014/5/18 1:17,1214,0,,0,,好吧，那你还继续咯，差不多就得了哈，不然很快就到早上的,4194304,,,18d59d800200c201,0,1678414035,1000050213
烟火的光芒,精神好那就好呀，碰到什么喜事说来听听[em]e113[\/em],5914,,2014/5/18 1:07,1213,0,,0,,精神好那就好呀，碰到什么喜事说来听听\u003Cimg src=\u0022\/qzone\/em\/e113.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,18d59d800200c201,0,1678414035,1000050212
烟火的光芒,还真的在看电视啊，看什么呢,5937,,2014/5/18 1:07,1212,0,,0,,还真的在看电视啊，看什么呢,4194304,,,18d59d800200c201,0,1678414035,1000050211
烟火的光芒,累了一天你是不知道爬到床上的感觉有多好，可是睡前玩手机的习惯一直改不掉[em]e149[\/em],5880,,2014/5/18 1:06,1211,0,,0,,累了一天你是不知道爬到床上的感觉有多好，可是睡前玩手机的习惯一直改不掉\u003Cimg src=\u0022\/qzone\/em\/e149.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,18d59d800200c201,0,1678414035,1000050210
烟火的光芒,我刚上床了哦,5951,,2014/5/18 1:05,1210,0,,0,,我刚上床了哦,4194304,,,18d59d800200c201,0,1678414035,1000050209
烟火的光芒,不会还在看电视吧你,5945,,2014/5/18 1:05,1209,0,,0,,不会还在看电视吧你,4194304,,,18d59d800200c201,0,1678414035,1000050208
烟火的光芒,[em]e178[\/em][em]e178[\/em][em]e178[\/em][em]e178[\/em][em]e178[\/em],5898,,2014/5/18 1:04,1208,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e178.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e178.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e178.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e178.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e178.gif\u0022  \/>\u003Cwbr  \/>,4194304,,,18d59d800200c201,0,1678414035,1000050207
烟火的光芒,你不也没睡额，哈哈,5945,,2014/5/18 1:04,1207,0,,0,,你不也没睡额，哈哈,4194304,,,18d59d800200c201,0,1678414035,1000050206
烟火的光芒,毕业季有些伤感啊,5947,,2014/5/18 1:03,1206,0,,0,,毕业季有些伤感啊,4194304,,,18d59d800200c201,0,1678414035,1000050205
烟火的光芒,[em]e109[\/em][em]e109[\/em][em]e109[\/em]过得可还快活？,5910,,2014/5/18 1:03,1205,0,,0,,\u003Cimg src=\u0022\/qzone\/em\/e109.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e109.gif\u0022  \/>\u003Cwbr  \/>\u003Cimg src=\u0022\/qzone\/em\/e109.gif\u0022  \/>\u003Cwbr  \/>过得可还快活？,4194304,,,18d59d800200c201,0,1678414035,1000050204
烟火的光芒,突然想你了,5953,,2014/5/18 1:02,1204,0,,0,,突然想你了,4194304,,,18d59d800200c201,0,1678414035,1000050203
Fearless。,挺早的好吧，中饭都没吃,5931,,2014/5/14 14:23,1203,0,,0,,挺早的好吧，中饭都没吃,4194304,,, 8d495a40102c101,0,295765289,1000050202
Fearless。,两年以来感谢有你们。,5933,,2014/5/14 14:12,1202,0,,0,,两年以来感谢有你们。,4194304,,, 8d495a40102c101,0,295765289,1000050201
Fearless。,感谢看在在乎的份上包容理解忍让着。,5919,,2014/5/14 14:12,1201,0,,0,,感谢看在在乎的份上包容理解忍让着。,4194304,,, 8d495a40102c101,0,295765289,1000050200
Fearless。,每个人的脾气性格想法各不相同，但在乎彼此的心却不约而同。,5897,,2014/5/14 14:10,1200,0,,0,,每个人的脾气性格想法各不相同，但在乎彼此的心却不约而同。,4194304,,, 8d495a40102c101,0,295765289,1000050199
Fearless。,敢收我钱我要你变超级跛娃！[em]e328544[\/em],5911,,2014/5/14 14:09,1199,0,,0,,敢收我钱我要你变超级跛娃！\u003Cimg src=\u0022\/qzone\/em\/e328544.gif\u0022  \/>\u003Cwbr  \/>,4194304,,, 8d495a40102c101,0,295765289,1000050198
Fearless。,一进空间真是吓到我了[em]e328561[\/em] 大清早就开始矫情~[em]e328514[\/em],5883,,2014/5/14 14:07,1198,0,,0,,一进空间真是吓到我了\u003Cimg src=\u0022\/qzone\/em\/e328561.gif\u0022  \/>\u003Cwbr  \/>&nbsp;大清早就开始矫情~\u003Cimg src=\u0022\/qzone\/em\/e328514.gif\u0022  \/>\u003Cwbr  \/>,4194304,,, 8d495a40102c101,0,295765289,1000050197
Ymm,下午可以肥家了,5956,,2014/5/8 13:50,1197,0,,0,,下午可以肥家了,1024,,,58c4952000008001,0,765238191,1000050196
依ぅ,认识你，我觉得我很幸运。虽然我们未曾见过，但我却感到心有灵犀,5903,,2014/5/5 23:29,1196,0,,0,,认识你，我觉得我很幸运。虽然我们未曾见过，但我却感到心有灵犀,1024,,,1.85E+214,0,1406079231,1000050195
依ぅ,要开开心心过好每一天，因为每一天对于你我都很重要！,5913,,2014/5/5 23:27,1195,0,,0,,要开开心心过好每一天，因为每一天对于你我都很重要！,1024,,,1.85E+214,0,1406079231,1000050194
Fearless。,"[ft=#545454,1,Tahoma][em]e176[\/em] 今天出太阳了啦啦啦[\/ft]",5895,,2014/5/5 13:24,1194,0,,0,,\u003Cspan style=\u0022line-height:1.8em;font-family:tahoma;font-size:10px;color:#545454;\u0022>\u003Cimg src=\u0022\/qzone\/em\/e176.gif\u0022  \/>\u003Cwbr  \/>&nbsp;今天出太阳了啦啦啦\u003C\/span>\u003Cwbr  \/>,0,,, 8d495a40102c101,0,295765289,1000050193
